id;precio_final;fecha_venta;precio_personalizaciones;precio_adicionales;dispositivo_venta_id
1;29458.82;2024-09-18T02:25:30;27237.39;7864.09;1
2;3172.67;2024-09-17T21:15:27;30148.31;7337.34;2
3;1488.61;2024-09-17T20:28:17;2605.74;6158.85;3
4;6030.48;2024-09-18T01:09:15;20102.64;27126.79;4
5;17621.83;2024-09-17T17:36:47;24243.45;29279.84;5
6;4647.09;2024-09-18T02:19:13;4042.69;6946.18;6
7;24698.92;2024-09-17T17:18:40;27403.98;26449.81;7
8;4470.5;2024-09-17T13:21:07;14053.31;31412.17;8
9;24347.94;2024-09-17T03:57:19;21359.43;31069.14;9
10;3287.27;2024-09-17T19:01:45;11452.12;9141.32;10
