id;precio_final;fecha_venta;precio_personalizaciones;precio_adicionales;dispositivo_venta_id
1;29458.82;2024-09-18T13:00:56;27237.39;7864.09;1
2;3172.67;2024-09-18T07:50:53;30148.31;7337.34;2
3;1488.61;2024-09-18T07:03:43;2605.74;6158.85;3
4;6030.48;2024-09-18T11:44:41;20102.64;27126.79;4
5;17621.83;2024-09-18T04:12:13;24243.45;29279.84;5
6;4647.09;2024-09-18T12:54:39;4042.69;6946.18;6
7;24698.92;2024-09-18T03:54:06;27403.98;26449.81;7
8;4470.5;2024-09-17T23:56:33;14053.31;31412.17;8
9;24347.94;2024-09-17T14:32:45;21359.43;31069.14;9
10;3287.27;2024-09-18T05:37:11;11452.12;9141.32;10
